repo,id_build,branch,commit_sha,languages,status,conclusion,created_at,updated_at,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,file_types,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_pull_req_number,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,gh_job_id,total_jobs,gh_first_commit_created_at,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,git_merged_with,gh_test_lines_per_kloc,build_language,test_framework,tests_passed,tests_failed,tests_skipped,tests_total
thecodecrate/wordpress-plugin-export-users,9640733540,dependabot/npm_and_yarn/braces-3.0.3,5250411ea75591c493a053a68e9b10fd82100659,PHP,completed,failure,2024-06-24T06:36:05Z,2024-06-24T06:37:35Z,90.0,1,0,0,1,False,14,14,.json,0,0,0,28,0,False,7608,0,1,0,0,2,"[26585034081, 26585043367, 26585043584]",3,2024-06-24T06:36:02Z,2,0,0,,200.05257623554155,,['phpunit'],0,0,0,0
phpcfdi/credentials,5038615029,main,263de44fbefe10b6671b5062ccb323d8a21b9fee,PHP,completed,failure,2023-05-21T16:20:07Z,2024-08-04T12:22:53Z,38088166.0,68,6,0,4,False,362,13,".php, .pfx, .md, .xml",190,5,195,180,0,False,4597,0,3,2,0,4,"[13641099826, 13641099909, 13641099986, 13641100069, 13641100162, 13641100232, 13641100296, 13641100365, 13641100429]",9,2023-02-24T17:31:24Z,2,21,0,,329.1276919730259,,['phpunit'],0,0,0,0
phpcfdi/credentials,5073976553,maintenance-20230524,1b87a13c75fca3b9d5def899e44671d2670b46db,PHP,completed,success,2023-05-24T22:20:54Z,2023-05-24T22:21:29Z,35.0,68,0,0,1,False,9,0,.md,0,0,0,9,0,False,4684,0,0,1,0,4,"[13739863467, 13739863629, 13739863791, 13739863982, 13739864156, 13739864291, 13739864417, 13739864532, 13739864659]",9,2023-05-24T22:19:55Z,2,2,0,,323.0145175064048,,['phpunit'],0,0,0,0
phpcfdi/credentials,5073983039,main,f1d8fa6f39ce9d8c7a1e1c286c02c471ff7c46b9,PHP,completed,success,2023-05-24T22:21:44Z,2023-05-24T22:22:37Z,53.0,68,0,0,4,False,116,29,".php, .md, .xml",0,0,0,145,0,False,4684,0,2,2,0,4,"[13739880446, 13739880576, 13739880726, 13739880857, 13739880987, 13739881120, 13739881246, 13739881374, 13739881496]",9,2023-05-24T22:21:41Z,2,7,0,,323.0145175064048,,['phpunit'],0,0,0,0
phpcfdi/credentials,5105311998,main,f1d8fa6f39ce9d8c7a1e1c286c02c471ff7c46b9,PHP,completed,success,2023-05-28T16:19:47Z,2023-05-28T16:20:23Z,36.0,68,0,0,4,False,116,29,".php, .md, .xml",0,0,0,145,0,False,4684,0,2,2,0,4,"[13818848853, 13818848902, 13818848978, 13818849034, 13818849100, 13818849169, 13818849230, 13818849288, 13818849343]",9,2023-05-24T22:21:41Z,2,7,0,,323.0145175064048,,['phpunit'],0,0,0,0
phpcfdi/credentials,5170077573,main,f1d8fa6f39ce9d8c7a1e1c286c02c471ff7c46b9,PHP,completed,success,2023-06-04T16:20:22Z,2023-06-04T16:20:58Z,36.0,68,0,0,4,False,116,29,".php, .md, .xml",0,0,0,145,0,False,4684,0,2,2,0,4,"[13990368578, 13990368674, 13990368761, 13990368844, 13990368900, 13990368963, 13990369022, 13990369076, 13990369143]",9,2023-05-24T22:21:41Z,2,7,0,,323.0145175064048,,['phpunit'],0,0,0,0
phpcfdi/credentials,5236404750,main,f1d8fa6f39ce9d8c7a1e1c286c02c471ff7c46b9,PHP,completed,success,2023-06-11T16:20:03Z,2023-06-11T16:20:38Z,35.0,68,0,0,4,False,116,29,".php, .md, .xml",0,0,0,145,0,False,4684,0,2,2,0,4,"[14169016064, 14169016127, 14169016182, 14169016256, 14169016313, 14169016377, 14169016445, 14169016486, 14169016534]",9,2023-05-24T22:21:41Z,2,7,0,,323.0145175064048,,['phpunit'],0,0,0,0
phpcfdi/credentials,5304631253,main,f1d8fa6f39ce9d8c7a1e1c286c02c471ff7c46b9,PHP,completed,success,2023-06-18T16:21:12Z,2023-06-18T16:21:43Z,31.0,68,0,0,4,False,116,29,".php, .md, .xml",0,0,0,145,0,False,4684,0,2,2,0,4,"[14355356570, 14355356666, 14355356774, 14355356920, 14355357066, 14355357147, 14355357228, 14355357366, 14355357467]",9,2023-05-24T22:21:41Z,2,7,0,,323.0145175064048,,['phpunit'],0,0,0,0
phpcfdi/credentials,5370733958,main,f1d8fa6f39ce9d8c7a1e1c286c02c471ff7c46b9,PHP,completed,success,2023-06-25T16:23:41Z,2023-06-25T16:24:24Z,43.0,68,0,0,4,False,116,29,".php, .md, .xml",0,0,0,145,0,False,4684,0,2,2,0,4,"[14535879736, 14535879800, 14535879878, 14535879941, 14535880001, 14535880057, 14535880108, 14535880160, 14535880210]",9,2023-05-24T22:21:41Z,2,7,0,,323.0145175064048,,['phpunit'],0,0,0,0
phpcfdi/credentials,5437486083,main,f1d8fa6f39ce9d8c7a1e1c286c02c471ff7c46b9,PHP,completed,success,2023-07-02T16:22:15Z,2023-07-02T16:23:09Z,54.0,68,0,0,4,False,116,29,".php, .md, .xml",0,0,0,145,0,False,4684,0,2,2,0,4,"[14720161476, 14720161531, 14720161586, 14720161642, 14720161683, 14720161719, 14720161755, 14720161806, 14720161849]",9,2023-05-24T22:21:41Z,2,7,0,,323.0145175064048,,['phpunit'],0,0,0,0
